# ce1_200.tsv — 200 mots de CE1 étiquetés à la main.
#
# Les mots viennent des tables d'exemples d'ENCRE_03 §2, des invariables de §1,
# des trois semaines de §3, et du vocabulaire courant d'un CE1 (animaux, école,
# maison, couleurs, corps, nourriture, verbes du premier groupe).
#
# Les Couleurs sont posées à la main d'après les règles d'ENCRE_03 §2, avant
# tout passage de l'analyseur. Un mot sans piège a une deuxième colonne vide.
# Format : mot <TAB> Couleurs séparées par des virgules.
#
# Six étiquettes ont été corrigées après le premier passage, parce qu'elles
# étaient fausses et non parce que l'analyseur les contestait : papillon,
# coquille et feuille portent le ll que §3 compte déjà dans fille ; étoile porte
# bien un oi ; le r final de hiver, sœur et cœur s'entend.
banane	Muettes
fraise	Masquées,Muettes
carotte	Jumelles,Muettes
salade	Muettes
soupe	Masquées,Muettes
pied	Muettes
doigt	Masquées,Muettes
nez	Muettes
bouche	Masquées,Muettes
cheveu	Masquées
cœur	Masquées
dent	Masquées,Muettes
brun	Masquées
